en	is
towards the coast	frameftir
down the valley	frameftir
in the future	framvegis
from	frá
already	fyrir
for	fyrir
before	fyrir
outside	fyrir utan
previously	fyrr
before	fyrr
first	fyrst
by foot	fótgangandi
gladly	gjarnan
willingly	gjarnan
beyond	handan
across	handan
beyond	handan
home	heim
at home	heima
rather	heldur
preferably	heldur
but	heldur
hither	hingað
here	hingað
with	hjá
near	hjá
next to	hjá
at a venture	holt
hillock	holt
hillock	holti
hillock	holtum
hillock	holtin
hillock	holta
hillock	holtunum
hillock	holtinu
hillock	holtanna
hillock	holtið
hillock	holts
hillock	holtsins
terribly	hrapallega
where	hvar
wherefrom	hvaðan
from where	hvaðan
how	hve
how much	hve mikið
when	hvenær
nowhere	hvergi
nowhither	hvergi
how	hvernig
how	hversu
where	hvert
what	hvert
why	hví
here	hér
hereby	hér með
passim	hér og hvar
passim	hér og þar
approximately	hér um bil
about	hér um bil
hereupon	hér á ofan
in this country	hérlendis
here	hérna
badly	illa
in	inn
inside	inni
deeply	innilega
always	jafnan
usually	jafnan
equilateral	jafnhliða
simultaneously	jafnhliða
even	jafnvel
just as well	jafnvel
yes	já
yes	já
certainly	jú
yes	jú
maybe	kannski
perhaps	kannski
far	langt
finally	loksins
also	líka
as well	líka
probably	líklega
little	lítið
more	meir
more	meira
for the most part	mestmegnis
with	með
with	með
while	meðan
while	meðan
partly	meðfram
much	mikið
a lot	mikið
less	miður
worse	miður
middle	miður
middle	mið
middle	miðir
middle	miðjar
very	mjög
no	nei
downstairs	niðri
below	niðri
down	niður
downwards	niður
murmur	niður
murmur	niðarins
murmur	niðnum
murmur	niðar
murmur	niðinn
murmur	niðurinn
murmur	nið
purling	niður
purling	niðarins
purling	niðnum
purling	niðar
purling	niðinn
purling	niðurinn
purling	nið
exactly	nákvæmlega
near	nálægt
naturally	náttúrlega
overnight	næturlangt
enough	nóg
now	nú
already	nú þegar
now	núna
too	of
down	ofan
awfully	ofsalega
often	oft
and	og
also	og
a little bit	pínulítið
incredibly	rosalega
very	rosalega
together	saman
still	samt
though	samt
nonetheless	samt
seldom	sjaldan
suddenly	skyndilega
gradually	smám saman
little by little	smám saman
early	snemma
immediately	strax
at once	strax
sometimes	stundum
at times	stundum
occasionally	stundum
en ocasiones	stundum
ocasionalmente	stundum
fabulously	stórkostlega
constantly	stöðugt
apart	sundur
southwardly	sunnan
south of	sunnan
in the south of Iceland	sunnanlands
so	svo
then	svo
a little	svolítið
somewhat	svolítið
especially	sérstaklega
always	sí
least	síst
late	síð
then	síðan
since then	síðan
since	síðan
in the afternoon	síðdegis
likewise	sömuleiðis
ditto	sömuleiðis
back	til baka
right	til hægri
left	til vinstri
twice	tvisvar
undoubtedly	ugglaust
about	um
about	um
about	um það bil
approximately	um það bil
without objection	umyrðalaust
very	undur
wonder	undur
wonder	undrunum
wonder	undri
wonder	undrinu
wonder	undrin
wonder	undranna
wonder	undrið
wonder	undurs
wonder	undrum
wonder	undursins
miracle	undur
miracle	undrunum
miracle	undri
miracle	undrinu
miracle	undrin
miracle	undranna
miracle	undrið
miracle	undurs
miracle	undrum
miracle	undursins
up	upp
above	uppi
barely	varla
hardly	varla
carefully	varlega
gently	varlega
well	vel
weekly	vikulega
friendly	vinsamlega
amicably	vinsamlega
left	vinstra megin
to the left	vinstra megin
really	virkilega
at	við
in	við
available	við
with	við
to	við
at	við
we	við
now and then	við og við
far and wide	víða
in many places	víða
generally	yfirleitt
in general	yfirleitt
later	á eftir
in the meantime	á meðan
while	á meðan
whilst	á meðan
tomorrow	á morgun
before	á undan
first	á undan
for sure	ábyggilega
certainly	ábyggilega
forward	áfram
on	áfram
fine	ágætlega
nicely	ágætlega
year	ár
year	árs
year	árin
year	árunum
year	ársins
year	árinu
year	áranna
year	ári
year	árið
year	árum
oar	ár
oar	árar
oar	árarnar
oar	árina
oar	árinni
oar	árunum
oar	árarinnar
oar	áranna
oar	árin
oar	árum
constantly	ár og síð
in vain	árangurslaust
in the morning	árdegis
before	áður
always	æ
ouch	æ
always	ævinlega
rather	æði
quite	æði
fury	æði
fury	æðið
fury	æðis
fury	æðisins
fury	æðinu
inside	í
in front	í
accelerate	í
to	í
this	í
that	í
in	í
today	í dag
the day before yesterday	í fyrradag
yesterday	í gær
okay	í lagi
all right	í lagi
a bit	ívið
free	ókeypis
gratis	ókeypis
inadvertently	óvart
differently	öðruvísi
out	út
outside	úti
there	þangað
thither	þangað
until then	þangað til
until	þangað til
thus	þannig
so	þannig
in that way	þannig
therefore	þannig
such	þannig
there	þar
there	þarna
over there	þarna
when	þegar
immediately	þegar
thus	þess vegna
therefore	þess vegna
thrice	þrisvar
therefore	því
why	því
him	því
because	því
unfortunately	því miður
then	þá
that	þá
them	þá
still	þó
yet	þó
though	þó
my	minn
my	minna
my	minnar
my	minni
memory	minni
memory	minninu
memory	minnin
memory	minnum
memory	minnanna
memory	minnunum
memory	minnis
memory	minnið
memory	minnisins
recall	minni
recall	minninu
recall	minnin
recall	minnum
recall	minnanna
recall	minnunum
recall	minnis
recall	minnið
recall	minnisins
toast	minni
toast	minninu
toast	minnin
toast	minnum
toast	minnanna
toast	minnunum
toast	minnis
toast	minnið
toast	minnisins
my	mitt
my	mín
my	mín
mine	mín
my	mína
my	mínar
my	mínir
my	míns
my	mínu
my	mínum
his	sinn
time	sinn
time	sinninu
time	sinnanna
time	sinnið
time	sinns
time	sinnum
time	sinnin
time	sinnunum
time	sinnsins
his	sinna
her	sinnar
her	sinni
its	sitt
oneself	sín
her	sín
her	sína
her	sínar
our	vor
spring	vor
spring	vorunum
spring	vors
spring	vorin
spring	vorið
spring	vorsins
spring	voranna
spring	vori
spring	vorum
spring	vorinu
thy	yðar
thine	yðar
your	þinn
your	þinna
your	þinnar
your	þinni
your	þitt
your	þín
your	þín
your	þína
your	þínar
your	þínir
your	þíns
your	þínu
your	þínum
her	hana
he	hann
him	hann
his	hans
her	hennar
her	henni
him	honum
she	hún
constant movement	ið
constant movement	iðs
constant movement	iðinu
constant movement	iði
constant movement	iðið
constant movement	iðsins
me	mig
me	mér
my	mín
my	mín
mine	mín
our	okkar
us	okkur
us	oss
at	við
in	við
available	við
with	við
to	við
at	við
we	við
our	vor
spring	vor
spring	vorunum
spring	vors
spring	vorin
spring	vorið
spring	vorsins
spring	voranna
spring	vori
spring	vorum
spring	vorinu
we	vér
your	ykkar
you	ykkur
thy	yðar
thine	yðar
I	ég
they	þau
them	þau
that	það
it	það
oneself	það
them	þeim
they	þeir
their	þeirra
of that	þess
its	þess
yourself	þig
you	þið
therefore	því
why	því
him	því
because	því
then	þá
that	þá
them	þá
they	þær
them	þær
you	þér
your	þín
your	þín
you	þú
what	hvað
mikä	hvað
mitä	hvað
which	hvaða
geyser	hver
geyser	hverunum
geyser	hverir
geyser	hveranna
geyser	hvernum
geyser	hverina
geyser	hveri
geyser	hverum
geyser	hverirnir
geyser	hversins
geyser	hvera
geyser	hverinn
who	hver
who	hverja
who	hverjum
who	hvern
whose	hvers
where	hvert
what	hvert
which	hvor
each	hvor
each of both	hvor
which	hvora
each	hvora
each of both	hvora
which	hvorar
each	hvorar
each of both	hvorar
which	hvorir
each	hvorir
each of both	hvorir
which	hvorn
each	hvorn
each of both	hvorn
which	hvorra
each	hvorra
each of both	hvorra
which	hvorrar
each	hvorrar
each of both	hvorrar
which	hvorri
each	hvorri
each of both	hvorri
which	hvors
each	hvors
each of both	hvors
which	hvort
each	hvort
each of both	hvort
which	hvoru
each	hvoru
each of both	hvoru
which	hvorum
each	hvorum
each of both	hvorum
the other	hinn
that	hinn
the	hinn
that one	sá
he	sá
such	sá
sow	sá
sow	sáist
sow	sái
sow	sáði
sow	sáir
sow	sáið
sow	sáðu
sow	sáð
sow	sáum
spread	sá
spread	sáist
spread	sái
spread	sáði
spread	sáir
spread	sáið
spread	sáðu
spread	sáð
spread	sáum
that	sú
that	þann
they	þau
them	þau
that	það
it	það
oneself	það
them	þeim
their	þeirra
of that	þess
its	þess
this	þessi
this	þetta
that	þetta
therefore	því
why	því
him	því
because	því
then	þá
that	þá
them	þá
they	þær
them	þær
the other	hinn
that	hinn
the	hinn
that one	sá
he	sá
such	sá
sow	sá
sow	sáist
sow	sái
sow	sáði
sow	sáir
sow	sáið
sow	sáðu
sow	sáð
sow	sáum
spread	sá
spread	sáist
spread	sái
spread	sáði
spread	sáir
spread	sáið
spread	sáðu
spread	sáð
spread	sáum
that	sú
that	þann
they	þau
them	þau
that	það
it	það
oneself	það
them	þeim
their	þeirra
of that	þess
its	þess
this	þessi
this	þetta
that	þetta
therefore	því
why	því
him	því
because	því
then	þá
that	þá
them	þá
they	þær
them	þær
all	allir
everyone	allir
everybody	allir
all	allur
entire	allur
entire	allur
another	annar
others	annar
second	annar
by the way	annars
or else	annars
otherwise	annars
other	annars
else	annars
second	annars
second	annað
both	beggja
both	báða
both	báðar
both	báðir
both of them	báðir
both	báðum
both	bæði
one	ein
someone	einhver
someone	einhverjum
someone	einhvern
someone's	einhvers
alone	einn
alone	einir
alone	einni
alone	einar
alone	einna
alone	eitt
alone	ein
one	einn
one	einn
one	eitt
something	eitthvað
nothing	ekkert
not	ekki
sob	ekki
sob	ekkanum
sob	ekkinn
sob	ekkum
sob	ekkar
sob	ekkanna
sob	ekka
sob	ekkana
sob	ekkans
sob	ekkarnir
sob	ekkunum
sob	ekkann
no one	enga
no one	engan
meadow	engi
meadow	engisins
meadow	engjanna
meadow	engjunum
meadow	enginu
meadow	engja
meadow	engis
meadow	engið
meadow	engjum
no one	engin
no one	enginn
no one	engir
few	fáeinir
nowhere	hvergi
nowhither	hvergi
neither	hvorugur
either	hvorugur
no one	neinn
anyone	nokkur
someone	nokkur
various things	sitthvað
different things	sitthvað
yourself	sjálfur
some	sumur
every	sérhver
everyone	sérhver
second	önnur
different	ýmis
various	ýmis
bone	bein
bone	beinanna
bone	beinin
bone	beinsins
bone	beini
bone	beinunum
bone	beininu
bone	beina
bone	beinum
bone	beins
bone	beinið
poverty	fátækt
poverty	fátæktin
poverty	fátæktarinnar
poverty	fátæktina
poverty	fátæktinni
poverty	fátæktar
thin covering of snow	föl
thin covering of snow	fölsins
thin covering of snow	fölinu
thin covering of snow	föli
thin covering of snow	fölið
thin covering of snow	föls
name	heiti
name	heitanna
name	heitin
name	heitinu
name	heitisins
name	heitum
name	heitis
name	heitunum
name	heitið
sweetheart	kærasta
sweetheart	kærustuna
sweetheart	kærustunnar
sweetheart	kærastanna
sweetheart	kærustur
sweetheart	kærusturnar
sweetheart	kærustunum
sweetheart	kærustunni
sweetheart	kærustum
sweetheart	kærustu
sweetheart	kærastan
true love	kærasta
true love	kærustuna
true love	kærustunnar
true love	kærastanna
true love	kærustur
true love	kærusturnar
true love	kærustunum
true love	kærustunni
true love	kærustum
true love	kærustu
true love	kærastan
fiancée	kærasta
fiancée	kærustuna
fiancée	kærustunnar
fiancée	kærastanna
fiancée	kærustur
fiancée	kærusturnar
fiancée	kærustunum
fiancée	kærustunni
fiancée	kærustum
fiancée	kærustu
fiancée	kærastan
sweetheart	kærasti
sweetheart	kærastar
sweetheart	kærastanum
sweetheart	kærastans
sweetheart	kærustunum
sweetheart	kærastanna
sweetheart	kærustum
sweetheart	kærastann
sweetheart	kærastana
sweetheart	kærastarnir
sweetheart	kærastinn
true love	kærasti
true love	kærastar
true love	kærastanum
true love	kærastans
true love	kærustunum
true love	kærastanna
true love	kærustum
true love	kærastann
true love	kærastana
true love	kærastarnir
true love	kærastinn
fiancé	kærasti
fiancé	kærastar
fiancé	kærastanum
fiancé	kærastans
fiancé	kærustunum
fiancé	kærastanna
fiancé	kærustum
fiancé	kærastann
fiancé	kærastana
fiancé	kærastarnir
fiancé	kærastinn
chariot	reið
chariot	reiðirnar
chariot	reiða
chariot	reiðar
chariot	reiðanna
chariot	reiðir
chariot	reiðinni
chariot	reiðin
chariot	reiðum
chariot	reiðunum
chariot	reiðarinnar
chariot	reiðina
peace	ró
peace	rær
peace	rónna
peace	róna
peace	róm
peace	rónum
peace	rónni
peace	róa
peace	róarinnar
peace	róin
peace	róar
peace	rærnar
quiet	ró
quiet	rær
quiet	rónna
quiet	róna
quiet	róm
quiet	rónum
quiet	rónni
quiet	róa
quiet	róarinnar
quiet	róin
quiet	róar
quiet	rærnar
rest	ró
rest	rær
rest	rónna
rest	róna
rest	róm
rest	rónum
rest	rónni
rest	róa
rest	róarinnar
rest	róin
rest	róar
rest	rærnar
nut	ró
nut	rær
nut	rónna
nut	róna
nut	róm
nut	rónum
nut	rónni
nut	róa
nut	róarinnar
nut	róin
nut	róar
nut	rærnar
reconciliation	sætt
reconciliation	sættina
reconciliation	sættar
reconciliation	sættum
reconciliation	sættin
reconciliation	sættarinnar
reconciliation	sættirnar
reconciliation	sættunum
reconciliation	sættanna
reconciliation	sættir
reconciliation	sættinni
settlement	sætt
settlement	sættina
settlement	sættar
settlement	sættum
settlement	sættin
settlement	sættarinnar
settlement	sættirnar
settlement	sættunum
settlement	sættanna
settlement	sættir
settlement	sættinni
welcome	velkomin
respectfully	virðingarfyllst
naughtiness	óþekkt
naughtiness	óþekktina
naughtiness	óþekktin
naughtiness	óþekktarinnar
naughtiness	óþekktinni
naughtiness	óþekktar
crowd	þröng
crowd	þröngin
crowd	þröngarinnar
crowd	þröngina
crowd	þrönginni
crowd	þröngar
difficulties	þröng
difficulties	þröngin
difficulties	þröngarinnar
difficulties	þröngina
difficulties	þrönginni
difficulties	þröngar
breathe	anda
breathe	andaðu
breathe	andi
breathe	öndum
breathe	andað
breathe	andar
breathe	andið
breathe	andaði
bake	baka
bake	bakað
bake	bakar
bake	bakaði
bake	bakið
bake	bakaðu
bake	baki
bake	bökum
judge	dæma
judge	dæmið
judge	dæmir
judge	dæmt
judge	dæmdu
judge	dæmum
judge	dæmi
judge	dæmdi
enemies	fjendur
enemies	fjendunum
enemies	fjandans
enemies	fjendanna
enemies	fjandanum
enemies	fjendum
enemies	fjendurnir
enemies	fjandinn
enemies	fjanda
enemies	fjendurna
enemies	fjenda
enemies	fjandann
Saviour	frelsarinn
Savior	frelsarinn
for	handa
name	heiti
name	heitanna
name	heitin
name	heitinu
name	heitisins
name	heitum
name	heitis
name	heitunum
name	heitið
stopped	hættur
stopped	hættar
stopped	hættastir
stopped	hættari
stopped	hættust
stopped	hættir
stopped	hættara
stopped	hættastur
stopped	hættast
stopped	hætt
stopped	hættastar
say	kveða
say	kveðum
say	kveddu
say	kveðinn
say	kveð
say	kvað
say	kveður
say	kveði
say	kveðið
compose	kveða
compose	kveðum
compose	kveddu
compose	kveðinn
compose	kveð
compose	kvað
compose	kveður
compose	kveði
compose	kveðið
chant	kveða
chant	kveðum
chant	kveddu
chant	kveðinn
chant	kveð
chant	kvað
chant	kveður
chant	kveði
chant	kveðið
intone	kveða
intone	kveðum
intone	kveddu
intone	kveðinn
intone	kveð
intone	kvað
intone	kveður
intone	kveði
intone	kveðið
say	kveða
say	kveðum
say	kveddu
say	kveðinn
say	kveð
say	kvað
say	kveður
say	kveði
say	kveðið
lay	kveða
lay	kveðum
lay	kveddu
lay	kveðinn
lay	kveð
lay	kvað
lay	kveður
lay	kveði
lay	kveðið
pronounce	kveða
pronounce	kveðum
pronounce	kveddu
pronounce	kveðinn
pronounce	kveð
pronounce	kvað
pronounce	kveður
pronounce	kveði
pronounce	kveðið
resound	kveða
resound	kveðum
resound	kveddu
resound	kveðinn
resound	kveð
resound	kvað
resound	kveður
resound	kveði
resound	kveðið
create	skapa
create	sköpum
create	skapað
create	skapar
create	skapaði
create	skapi
create	skapið
snow	snjóa
snow	snjóað
south	suður
south	suðrinu
south	suðursins
south	suðurs
south	suðri
south	suðrið
swim	synda
swim	syndum
swim	syndi
swim	syntu
swim	synti
swim	synt
swim	syndir
swim	syndið
telephone	síma
telephone	símar
telephone	símað
telephone	símaðu
telephone	símum
telephone	símið
telephone	símaði
telephone	sími
waking state	vaka
waking state	vökur
waking state	vökunum
waking state	vökunnar
waking state	vökurnar
waking state	vökunni
waking state	vöku
waking state	vökum
waking state	vakanna
waking state	vökuna
waking state	vakan
wake	vaka
wake	vakað
wake	vaktu
wake	vaki
wake	vakið
wake	vökum
wake	vakir
wake	vakti
be awake	vaka
be awake	vakað
be awake	vaktu
be awake	vaki
be awake	vakið
be awake	vökum
be awake	vakir
be awake	vakti
stay awake	vaka
stay awake	vakað
stay awake	vaktu
stay awake	vaki
stay awake	vakið
stay awake	vökum
stay awake	vakir
stay awake	vakti
pumice	vikur
pumice	vikra
pumice	vikrunum
pumice	vikrarnar
pumice	vikranna
pumice	vikrin
pumice	vikrum
pumice	vikrar
pumice	vikrarinnar
pumice	vikrina
pumice	vikrinni
know	vita
know	vitdu
know	vissi
know	veist
know	viti
know	vitum
know	vitið
know	veit
at	við
in	við
available	við
with	við
to	við
at	við
we	við
machination	vélar
machination	vélanna
machination	véla
machination	vélarnar
machination	vélunum
machination	vélum
on	á
in	á
river	á
river	áa
river	ána
river	ám
river	áin
river	árinnar
river	árnar
river	ánni
river	ánna
river	ánum
oh	á
wych elm	álmur
wych elm	álmarnir
wych elm	álmana
wych elm	álm
wych elm	álmurinn
wych elm	álmum
wych elm	álmi
wych elm	álmsins
wych elm	álms
wych elm	álmar
wych elm	álminn
wych elm	álmunum
wych elm	álminum
wych elm	álmanna
elm	álmur
elm	álmarnir
elm	álmana
elm	álm
elm	álmurinn
elm	álmum
elm	álmi
elm	álmsins
elm	álms
elm	álmar
elm	álminn
elm	álmunum
elm	álminum
elm	álmanna
year	ár
year	árs
year	árin
year	árunum
year	ársins
year	árinu
year	áranna
year	ári
year	árið
year	árum
oar	ár
oar	árar
oar	árarnar
oar	árina
oar	árinni
oar	árunum
oar	árarinnar
oar	áranna
oar	árin
oar	árum
sod	þaka
sod	þökum
sod	þakna
sod	þökunnar
sod	þakan
sod	þaknanna
sod	þökuna
sod	þökurnar
sod	þökunni
sod	þökunum
sod	þöku
sod	þökur
helicopter	þyrla
helicopter	þyrlunum
helicopter	þyrlunni
helicopter	þyrlu
helicopter	þyrlan
helicopter	þyrlna
helicopter	þyrlum
helicopter	þyrlur
helicopter	þyrlurnar
helicopter	þyrlnanna
helicopter	þyrlunnar
helicopter	þyrluna
whirl	þyrla
whirl	þyrlaðu
whirl	þyrlið
whirl	þyrlum
whirl	þyrlað
whirl	þyrlar
whirl	þyrlaði
whirl	þyrli
pretty	ansi
rather	ansi
fabric	efni
fabric	efnunum
fabric	efnin
fabric	efnið
fabric	efnanna
fabric	efnis
fabric	efnum
fabric	efninu
fabric	efnisins
material	efni
material	efnunum
material	efnin
material	efnið
material	efnanna
material	efnis
material	efnum
material	efninu
material	efnisins
subject	efni
subject	efnunum
subject	efnin
subject	efnið
subject	efnanna
subject	efnis
subject	efnum
subject	efninu
subject	efnisins
matter	efni
matter	efnunum
matter	efnin
matter	efnið
matter	efnanna
matter	efnis
matter	efnum
matter	efninu
matter	efnisins
means	efni
means	efnunum
means	efnin
means	efnið
means	efnanna
means	efnis
means	efnum
means	efninu
means	efnisins
when	er
who	er
cent	sent
cent	senti
cent	sentið
cent	sentsins
cent	senta
cent	sentin
cent	sentinu
cent	sents
cent	sentum
cent	sentanna
cent	sentunum
see you	sjáumst
sometimes	stundum
at times	stundum
occasionally	stundum
en ocasiones	stundum
ocasionalmente	stundum
sword	sverð
sword	sverðin
sword	sverðunum
sword	sverðsins
sword	sverði
sword	sverðanna
sword	sverðinu
sword	sverða
sword	sverðum
sword	sverðið
sword	sverðs
that one	sá
he	sá
such	sá
sow	sá
sow	sáist
sow	sái
sow	sáði
sow	sáir
sow	sáið
sow	sáðu
sow	sáð
sow	sáum
spread	sá
spread	sáist
spread	sái
spread	sáði
spread	sáir
spread	sáið
spread	sáðu
spread	sáð
spread	sáum
reconciliation	sætt
reconciliation	sættina
reconciliation	sættar
reconciliation	sættum
reconciliation	sættin
reconciliation	sættarinnar
reconciliation	sættirnar
reconciliation	sættunum
reconciliation	sættanna
reconciliation	sættir
reconciliation	sættinni
settlement	sætt
settlement	sættina
settlement	sættar
settlement	sættum
settlement	sættin
settlement	sættarinnar
settlement	sættirnar
settlement	sættunum
settlement	sættanna
settlement	sættir
settlement	sættinni
oneself	sér
fuse	var
fuse	varinu
fuse	vörin
fuse	vars
fuse	vörunum
fuse	varsins
fuse	vörum
fuse	varanna
fuse	vari
fuse	varið
lee	var
lee	varinu
lee	vörin
lee	vars
lee	vörunum
lee	varsins
lee	vörum
lee	varanna
lee	vari
lee	varið
weather	veður
weather	veðurs
weather	veðrunum
weather	veðrið
weather	veðrum
weather	veðrinu
weather	veðrin
weather	veðra
weather	veðursins
weather	veðranna
weather	veðri
on	á
in	á
river	á
river	áa
river	ána
river	ám
river	áin
river	árinnar
river	árnar
river	ánni
river	ánna
river	ánum
oh	á
direction	átt
direction	áttar
direction	áttinni
direction	áttin
direction	áttina
direction	áttunum
direction	áttarinnar
direction	áttanna
direction	áttirnar
direction	áttir
direction	áttum
Western world	Vesturlönd
Western world	Vesturlanda
Western world	Vesturlöndum
Western world	Vesturlöndunum
Western world	Vesturlöndin
Western world	Vesturlandanna
tuberculosis	berklar
tuberculosis	berkla
tuberculosis	berklarnir
tuberculosis	berklum
tuberculosis	berklunum
tuberculosis	berklanna
tuberculosis	berklana
father and son	feðgar
father and son	feðga
father and son	feðgana
father and son	feðgarnir
father and son	feðganna
father and son	feðgum
father and son	feðgunum
father and daughter	feðgin
father and daughter	feðginunum
father and daughter	feðgina
father and daughter	feðginum
father and daughter	feðginin
father and daughter	feðginanna
finance	fjármál
finance	fjármálunum
finance	fjármálum
finance	fjármálanna
finance	fjármálin
finance	fjármála
parents	foreldrar
parents	foreldrana
parents	foreldra
parents	foreldrunum
parents	foreldrum
parents	foreldrarnir
parents	foreldranna
destiny	forlög
destiny	forlaga
destiny	forlaganna
destiny	forlögin
destiny	forlögum
destiny	forlögunum
playtime	frímínútur
playtime	frímínútunum
playtime	frímínútnanna
playtime	frímínútna
playtime	frímínútum
playtime	frímínúturnar
break	frímínútur
break	frímínútunum
break	frímínútnanna
break	frímínútna
break	frímínútum
break	frímínúturnar
recess	frímínútur
recess	frímínútunum
recess	frímínútnanna
recess	frímínútna
recess	frímínútum
recess	frímínúturnar
strangeness	fádæmi
strangeness	fádæmin
strangeness	fádæmunum
strangeness	fádæmanna
strangeness	fádæma
strangeness	fádæmum
glasses	gleraugu
glasses	gleraugun
glasses	gleraugum
glasses	gleraugna
glasses	gleraugnanna
glasses	gleraugunum
eyeglasses	gleraugu
eyeglasses	gleraugun
eyeglasses	gleraugum
eyeglasses	gleraugna
eyeglasses	gleraugnanna
eyeglasses	gleraugunum
spectacles	gleraugu
spectacles	gleraugun
spectacles	gleraugum
spectacles	gleraugna
spectacles	gleraugnanna
spectacles	gleraugunum
truce	grið
truce	griðum
truce	griða
truce	griðunum
truce	griðanna
truce	griðin
mercy	grið
mercy	griðum
mercy	griða
mercy	griðunum
mercy	griðanna
mercy	griðin
needlework	hannyrðir
needlework	hannyrðirnar
needlework	hannyrðunum
needlework	hannyrða
needlework	hannyrðanna
needlework	hannyrðum
armour	herklæði
armour	herklæðin
armour	herklæðanna
armour	herklæðum
armour	herklæðunum
armour	herklæða
shoulders	herðar
shoulders	herðunum
shoulders	herða
shoulders	herðum
shoulders	herðarnar
shoulders	herðanna
corpus callosum	hvelatengsl
corpus callosum	hvelatengsla
corpus callosum	hvelatengslanna
corpus callosum	hvelatengslin
corpus callosum	hvelatengslum
corpus callosum	hvelatengslunum
dwelling	híbýli
dwelling	híbýlunum
dwelling	híbýlum
dwelling	híbýlin
dwelling	híbýlanna
dwelling	híbýla
home	híbýli
home	híbýlunum
home	híbýlum
home	híbýlin
home	híbýlanna
home	híbýla
Christmas	jól
Christmas	jóla
Christmas	jólanna
Christmas	jólin
Christmas	jólum
Christmas	jólunum
Yule	jól
Yule	jóla
Yule	jólanna
Yule	jólin
Yule	jólum
Yule	jólunum
Yuletide	jól
Yuletide	jóla
Yuletide	jólanna
Yuletide	jólin
Yuletide	jólum
Yuletide	jólunum
border	landamæri
border	landamærum
border	landamæranna
border	landamærunum
border	landamærin
border	landamæra
frontier	landamæri
frontier	landamærum
frontier	landamæranna
frontier	landamærunum
frontier	landamærin
frontier	landamæra
high treason	landráð
high treason	landráðin
high treason	landráðunum
high treason	landráðanna
high treason	landráða
high treason	landráðum
salary	laun
salary	launa
salary	launanna
salary	launin
salary	launum
salary	laununum
pay	laun
pay	launa
pay	launanna
pay	launin
pay	launum
pay	laununum
elevator shaft	lyftugöng
elevator shaft	lyftugöngin
elevator shaft	lyftugöngunum
elevator shaft	lyftuganga
elevator shaft	lyftuganganna
elevator shaft	lyftugöngum
noise	læti
noise	láta
noise	látanna
noise	látunum
noise	látum
noise	lætin
behaviour	læti
behaviour	láta
behaviour	látanna
behaviour	látunum
behaviour	látum
behaviour	lætin
behavior	læti
behavior	láta
behavior	látanna
behavior	látunum
behavior	látum
behavior	lætin
likelihood	líkindi
likelihood	líkindum
likelihood	líkindanna
likelihood	líkindunum
likelihood	líkindin
likelihood	líkinda
probability	líkindi
probability	líkindum
probability	líkindanna
probability	líkindunum
probability	líkindin
probability	líkinda
law	lög
law	lögunum
law	lögum
law	lögin
law	laganna
esteem	metorð
esteem	metorðum
esteem	metorðanna
esteem	metorðunum
esteem	metorðin
esteem	metorða
measles	mislingar
measles	mislinganna
measles	mislingarnir
measles	mislingana
measles	mislingunum
measles	mislingum
measles	mislinga
mother and son	mæðgin
mother and son	mæðginunum
mother and son	mæðginin
mother and son	mæðgina
mother and son	mæðginum
mother and son	mæðginanna
mother and daughter	mæðgur
mother and daughter	mæðgunum
mother and daughter	mæðgurnar
mother and daughter	mæðgnanna
mother and daughter	mæðgum
