,gpus-per-task,ntasks-per-code,memory,exclusive,gpu_type,time,gpus,cores-per-socket,cpus-per-task,nodes,gpus-per-node,tasks,mem-per-gpu,gres-flags,mem-per-cpu,ntasks-per-socket,sockets-per-node,gres,ntasks-per-node,cpus-per-gpu,application
renebidart/cancer_hist/src/submit_old/conv.sh,0.0,0.0,0.0,0.0,0.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,python
renebidart/cancer_hist/src/submit2/untitled.sh,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tensorflow
ifnspaml/revt-domain-generalization/slurm_script_runs/SegFormerB2/gta_train-split/train/pixmix/train_a.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/SegFormerB2/gta_train-split/train/pixmix/train_b.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/SegFormerB2/gta_train-split/train/batch2/train_c.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/SegFormerB2/gta_train-split/train/bilateral/train_a.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/SegFormerB2/gta_train-split/train/bilateral/train_b.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/SegFormerB2/synthia_train-split/train/pixmix/train_a.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/SegFormerB2/synthia_train-split/train/batch2/train_c.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/SegFormerB1/gta_train-split/train/pixmix/train_a.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/SegFormerB1/gta_train-split/train/pixmix/train_b.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/SegFormerB1/gta_train-split/train/base/train_a.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/SegFormerB1/gta_train-split/train/base/train_c.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/SegFormerB1/gta_train-split/train/base/train_b.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/SegFormerB1/gta_train-split/train/bilateral/train_a.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/SegFormerB1/gta_train-split/train/bilateral/train_b.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/SegFormerB5/synthia_train_split/train/pixmix/train_b.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/SegFormerB5/synthia_train_split/train/base/train_a.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/SegFormerB5/synthia_train_split/train/base/train_c.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/SegFormerB5/synthia_train_split/train/base/train_b.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/SegFormerB5/gta_train_split/train/base/train_g.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/SegFormerB5/gta_train_split/train/base/train_d.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/SegFormerB5/gta_train_split/train/base/train_e.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/SegFormerB5/gta_train_split/train/bilateral/train_b.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/SegFormerB3/gta_train-split/train/base/train_c.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/SegFormerB3/gta_train-split/train/bilateral/train_c.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/SegFormerB3/gta_train-split/train/bilateral/train_b.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/SegFormerB3/synthia_train_split/train/base/train_a.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/ResNet50/gta_train-split/train/pixmix/train_a.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/ResNet50/gta_train-split/train/pixmix/train_c.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/ResNet50/gta_train-split/train/adamw/train_a.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/ResNet50/gta_train-split/train/adamw/train_c.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/ResNet50/gta_train-split/train/base/train_a.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/ResNet50/gta_train-split/train/base/train_c.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/ResNet50/gta_train-split/train/base/train_b.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/ResNet50/synthia_train-split/train/base/train_c.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/ResNet101/gta_train-split/train/pixmix/train_c.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
ifnspaml/revt-domain-generalization/slurm_script_runs/ResNet101/gta_train-split/train/bilateral/train_c.sh,0.0,0.0,0.0,0.0,0.0,604800.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pytorch
IntelCompH2020/taxonomical-classification/utils/template_hpc.sh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lammps
IntelCompH2020/sciroshot/run_mag_wiki.sh,0.0,0.0,0.0,0.0,0.0,172800.0,0.0,0.0,128.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pytorch
Cyanogenoid/fspool/CLEVR/clevr.job,0.0,0.0,0.0,0.0,0.0,86400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,python
wenshuaizhao/optimappo/scripts/train_football.sh,0.0,0.0,0.0,0.0,0.0,172800.0,0.0,0.0,52.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,singularity
holtgrewe/pb-human-wgs-workflow-snakemake/process_smrtcells.lsf.sh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,snakemake
holtgrewe/pb-human-wgs-workflow-snakemake/process_cohort.slurm.sh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,snakemake
holtgrewe/pb-human-wgs-workflow-snakemake/process_sample.lsf.sh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,snakemake
holtgrewe/pb-human-wgs-workflow-snakemake/process_cohort.lsf.sh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,snakemake
jbisits/CabbelingExperiments/stable.sh,0.0,0.0,0.0,0.0,0.0,7200.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,julia
jbisits/CabbelingExperiments/animation.sh,0.0,0.0,0.0,0.0,0.0,10800.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,julia
jbisits/CabbelingExperiments/isothermal.sh,0.0,0.0,0.0,0.0,0.0,86400.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,julia
jbisits/CabbelingExperiments/cabbeling.sh,0.0,0.0,0.0,0.0,0.0,115200.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,julia
jbisits/CabbelingExperiments/energetics_v2.sh,0.0,0.0,0.0,0.0,0.0,10800.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,julia
jbisits/CabbelingExperiments/diffusivity.sh,0.0,0.0,0.0,0.0,0.0,14400.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,julia
jbisits/CabbelingExperiments/energetics.sh,0.0,0.0,0.0,0.0,0.0,10800.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,julia
jbisits/CabbelingExperiments/buoyancy_flux.sh,0.0,0.0,0.0,0.0,0.0,14400.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,julia
jbisits/CabbelingExperiments/onedmodel.sh,0.0,0.0,0.0,0.0,0.0,14400.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,julia
jbisits/CabbelingExperiments/ha_profile.sh,0.0,0.0,0.0,0.0,0.0,14400.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,julia
jbisits/CabbelingExperiments/test_experiments/run_nc_test.sh,0.0,0.0,0.0,0.0,0.0,180.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,julia
nyu-mll/multiNLI/launch-experiment.sbatch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tensorflow
FedericoRubbi/FedFramework/job.pbs,0.0,0.0,0.0,0.0,0.0,169200.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,python
MadryLab/trak/examples/slurm_example/run.sbatch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,python
qazwsxal/diffusion-extensions/slurm-scripts/ncc_sweep.sh,0.0,0.0,0.0,0.0,0.0,43200.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wandb
zygolife/Entomophthorales_Kasson/pipeline/metashot-MAG.sh,0.0,0.0,0.0,0.0,0.0,691200.0,0.0,0.0,0.0,1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nextflow
002311-A/csci-467-project/bert_baseline.job,0.0,0.0,0.0,0.0,0.0,11700.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,python
annejong/FUNAGEPro/FACoP/01.GSEApro_annotate_genomes.sh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bash
vincen-github/mlimpl/DeepLearning/resnet50/resnet50.sbatch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,python
laurenflynn/thesis-work/jobFamGeneration.sbatch,0.0,0.0,0.0,0.0,0.0,87120.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rscript
laurenflynn/thesis-work/jobarray400.sbatch,0.0,0.0,0.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rscript
t-silverthorne/optimalCircadianSampling/old/paper/makefig3.sl,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,1.0,0.0,matlab
t-silverthorne/optimalCircadianSampling/old/paper/compare_2D_perms/testgpu.sl,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,matlab
SURGroup/UQpy/docs/code/RunModel/LS-Dyna_Examples/multi_job/run_LSDyna.sh,0.0,0.0,0.0,0.0,0.0,7200.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,python
wcukier/Phaethon_Meteoroids/distr.slurm,0.0,0.0,0.0,0.0,0.0,14340.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,python
GregorySchwing/WolfWater/headless.sh,0.0,0.0,0.0,0.0,0.0,1209600.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nextflow
ddrous/nodepint/scripts/jade.sh,0.0,0.0,0.0,0.0,0.0,36000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,python
Tiramisu-Compiler/tiramisu/utils/rl_autoscheduler/scripts/run_rllib_slurm.sh,0.0,0.0,0.0,1.0,0.0,604800.0,0.0,0.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ray
lazypuff/DMF_in_DRP/PaccMann/commands/gdsc1_smile_mskdrug.sh,0.0,0.0,0.0,0.0,0.0,720000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,python
ninhleba/scPASU_pipeline/Scripts/Templates/3_peak_ref_cleanup/3e_identify_fragmented_peaks.lsf,0.0,0.0,0.0,0.0,0.0,1440.0,0.0,0.0,0.0,1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bsub
ejjohnson93/collagen_kinetics/ramd_3-pull_simulations.sh,0.0,0.0,0.0,0.0,0.0,259200.0,0.0,0.0,5.0,8.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,gromacs
ejjohnson93/collagen_kinetics/ramd_1-equil_trajectories.sh,0.0,0.0,0.0,0.0,0.0,259200.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,gromacs
ejjohnson93/collagen_kinetics/ramd_2-processing_equil_trajectories.sh,0.0,0.0,0.0,0.0,0.0,259200.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,gromacs
ejjohnson93/collagen_kinetics/ramd_4-run_homotrimer_RAMD.sh,0.0,0.0,0.0,0.0,0.0,259200.0,0.0,0.0,5.0,8.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,gromacs
r-caplier/CGvsNI-SSL/scripts/CIFAR10/CIFAR10-tempens.sh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oar
r-caplier/CGvsNI-SSL/scripts/CIFAR10/CIFAR10-meanteach.sh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oar
r-caplier/CGvsNI-SSL/scripts/SVHN/SVHN-meanteach.sh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oar
r-caplier/CGvsNI-SSL/scripts/SVHN/SVHN-tempens.sh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oar
r-caplier/CGvsNI-SSL/scripts/CGvsNI/CGvsNI-testArtlantis-meanteach.sh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oar
r-caplier/CGvsNI-SSL/scripts/CGvsNI/CGvsNI-testAutodesk-tempens.sh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oar
r-caplier/CGvsNI-SSL/scripts/CGvsNI/CGvsNI-testArtlantisAutodesk-tempens.sh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oar
